id,title,main_reference_number,department_title,artist_title,classification_titles
2816,Interior at Nice,1956.339,Modern Art,Henri Matisse,
4884,Figure with Meat,1956.1201,Contemporary Art,Francis Bacon,
5357,The Red Armchair,1957.72,Modern Art,Pablo Picasso,
7124,Seated Nude,1958.16,Modern Art,Henri Matisse,
8624,Portrait of Pablo Picasso,1958.525,Modern Art,Juan Gris,
8633,Hero Construction,1958.528,Contemporary Art,Richard Hunt,
8991,Improvisation No. 30 (Cannons),1931.511,Modern Art,Vasily Kandinsky,
9010,L'Estaque,1931.518,Modern Art,Émilie Charmy,
9503,Champs de Mars: The Red Tower,1959.1,Modern Art,Robert Delaunay,
13720,Alabama Cotton Tenant Farmer's Wife,1962.158,Photography and Media,Walker Evans,
15563,The Night is Stirring (La nuit remue),1962.904,Contemporary Art,Wou-Ki Zao,
16776,"After the Hurricane, Bahamas",1933.1235,Prints and Drawings,Winslow Homer,
16964,The Plough and the Song,1963.208,Contemporary Art,Arshile Gorky,
18709,"The Frugal Meal, from The Saltimbanques",1963.825,Prints and Drawings,Pablo Picasso,
20432,The Old Savoyard,1964.74,Prints and Drawings,Jean Antoine Watteau,
23506,Young Bull,1965.408,Prints and Drawings,Albrecht Dürer,
23684,The Artist's Mother,1965.510,Prints and Drawings,Arshile Gorky,
23700,The Praying Jew,1937.188,Modern Art,Marc Chagall,
24836,Brushstroke with Spatter,1966.3,Contemporary Art,Roy Lichtenstein,
27984,Woman before an Aquarium,1926.220,Modern Art,Henri Matisse,
27987,Jacques and Berthe Lipchitz,1926.221,Modern Art,Amedeo Modigliani,
28067,The Old Guitarist,1926.253,Modern Art,Pablo Picasso,
30839,The Philosopher's Conquest,1939.405,Modern Art,Giorgio de Chirico,
34181,La durée poignardée (Time Transfixed),1970.426,Modern Art,René Magritte,
35198,Miss E. Knows,1970.1014,Contemporary Art,Jim Nutt,
36132,Cope,1971.312a,Textiles,,
37368,Spanish Dancer,1971.777,Modern Art,Natalia Goncharova,
37761,Spoon Woman,1971.880,Contemporary Art,Alberto Giacometti,
38930,Two Plant Specimens,1972.325,Photography and Media,William Henry Fox Talbot,
47149,Mao,1974.230,Contemporary Art,Andy Warhol,
49691,Bed Rug,1944.27,Textiles,Hannah Johnson,
50148,"Hyères, France",1975.1134,Photography and Media,Henri Cartier-Bresson,
50157,Mondrian's Glasses and Pipe,1975.1137,Photography and Media,André Kertész,
50276,Statue of the Madonna in the Mountains,1976.22,Prints and Drawings,Caspar David Friedrich,
52679,"The Pheasants from the ""Verdures of the Vatican"" Series",1945.12,Textiles,Jean-Demosthene Dugourc,
52736,"The Letter, or The Spanish Conversation",1945.32,Prints and Drawings,Jean Honoré Fragonard,
53001,Composition,1978.404,Modern Art,Maria Helena Vieira da Silva,
55384,Fête du Trône,1979.56,Photography and Media,Jean-Eugène-Auguste Atget,
59426,White Crucifixion,1946.925,Modern Art,Marc Chagall,
60031,Panorama from the Sasso,1980.190,Prints and Drawings,Claude Lorrain,
61603,Ballet at the Paris Opéra,1981.12,Prints and Drawings,Hilaire Germain Edgar Degas,
61608,Sunset,1981.13,Modern Art,Paul Klee,
63234,Two Ladies at the Automat (New York City),1981.557,Photography and Media,Diane Arbus,
63554,"Big River, from the Rancherie, Mendocino, California",1981.649,Photography and Media,Carleton Watkins,
64884,Mohnköpfe (Poppyheads) (Dress or Furnishing Fabric),1986.963,Textiles,Koloman (Kolo) Moser,
66039,Head of a Woman (Fernande),1949.584,Modern Art,Pablo Picasso,
66434,Georgia O'Keeffe—Hands and Thimble,1949.745,Photography and Media,Alfred Stieglitz,
